|id_texto|codigo_steam|nome_jogo|texto_comentario|site|comentario_limpo|lemma|punct|entidades_texto|entidades_label|comentarios_limpos|embedings
0|218261480|105600.0|terraria|E POGGERS|steam|e poggers|[Poggers]|[false]|[]|[]|Poggers|[1.3214999437332153, -1.9040000438690186, 1.4228999614715576, -0.2811650037765503, -0.2164900004863739, -0.8359500169754028, -0.4820849895477295, -1.2688000202178955, -1.7647500038146973, -1.9391499757766724, 0.6067000031471252, -0.778249979019165, 0.9124000072479248, -0.4370900094509125, -0.35051000118255615, 0.4185299873352051, 3.2048499584198, -0.3598349988460541, 2.103450059890747, 1.90339994430542, -1.4943499565124512, 0.2701199948787689, 0.17408999800682068, 0.45238998532295227, -1.0692499876022339, 1.9292000532150269, 0.3645550012588501, 0.028055500239133835, 0.19272999465465546, -1.2166500091552734, -0.9843500256538391, 0.24491499364376068, -1.3427499532699585, -1.3653000593185425, -0.8393999934196472, 0.4528549909591675, -0.9370499849319458, -1.4840500354766846, 2.2564499378204346, 0.25181499123573303, 0.5979499816894531, 1.2214499711990356, -0.3151650130748749, 0.15535999834537506, -0.3829500079154968, -0.5943499803543091, 1.9228500127792358, -1.2930500507354736, 3.142699956893921, -0.17991000413894653, -0.31051498651504517, 0.25523000955581665, -2.515399932861328, -1.246999979019165, -1.2578999996185303, -0.008245999924838543, 0.9697499871253967, -0.7836499810218811, 0.4286800026893616, 0.8199499845504761, 0.13407999277114868, 0.2848399877548218, 2.312999963760376, -0.0887949988245964, 0.5491999983787537, -0.11452999711036682, -0.902899980545044, 0.8797500133514404, 0.9244999885559082, 0.1875700056552887, 0.7412499785423279, -1.548200011253357, 1.0280499458312988, 1.9876999855041504, -1.6603000164031982, 0.18657000362873077, 0.052710000425577164, 2.164299964904785, 2.0833499431610107, -1.0627000331878662, 1.044600009918213, -0.14186500012874603, 2.199850082397461, -2.3524999618530273, -1.687150001525879, -1.4155000448226929, 0.4135049879550934, -0.45080000162124634, 2.1381499767303467, -0.8429499864578247, 0.2342049926519394, 0.7083500027656555, 1.5378999710083008, -0.9214500188827515, -2.849950075149536, -1.2807999849319458, 0.8493000268936157, 1.7916500568389893, 0.23301999270915985, 0.1890999972820282, 1.4905999898910522, 0.035617999732494354, -0.1619900017976761, 0.7562500238418579, 1.8845499753952026, -0.8754000067710876, -2.1575000286102295, -0.7114499807357788, 0.24430499970912933, -0.2307099997997284, -1.1782000064849854, -0.5873500108718872, -0.6119499802589417, -0.8982999920845032, -1.4473999738693237, -1.3150999546051025, -0.6506500244140625, -0.5741000175476074, -0.409960001707077, 0.6164000034332275, 2.846450090408325, -2.218600034713745, -0.8133999705314636, -0.3230000138282776, 2.0909500122070312, 0.34325000643730164, 1.4982999563217163, 1.1410000324249268, 0.2882300019264221, 1.4326499700546265, 1.9869999885559082, 0.9711499810218811, 1.3082499504089355, 0.22530999779701233, 0.8557500243186951, 0.3746750056743622, -1.476199984550476, -1.0024000406265259, 0.4997900128364563, 1.5224000215530396, -1.1569000482559204, -0.5392000079154968, -0.3740299940109253, -3.1844499111175537, -2.1702499389648438, -0.7192000150680542, -0.1574449986219406, -0.44729501008987427, 0.12291000038385391, -0.9584500193595886, -0.16970999538898468, -0.07412999868392944, -0.07840000092983246, 0.11780499666929245, 1.281350016593933, -0.661050021648407, -1.5299500226974487, 0.18257500231266022, 0.9320999979972839, -1.120300054550171, -0.22468000650405884, 1.2027000188827515, -1.155900001525879, 1.4320499897003174, 1.2511500120162964, 1.990149974822998, 0.3549399971961975, -1.4926999807357788, 2.0059499740600586, -2.372450113296509, 0.7300000190734863, 1.217900037765503, 2.06754994392395, 0.8134999871253967, -1.0194499492645264, 0.8998000025749207, 1.7131999731063843, -0.2602050006389618, -0.5647000074386597, -0.6090999841690063, 2.5699000358581543, 0.7666000127792358, -1.3566999435424805, 1.9432499408721924, -0.8432999849319458, 0.9258999824523926, 4.214099884033203, 2.336699962615967, 1.5479999780654907, 0.23816999793052673, -0.4690850079059601, -1.180649995803833, 1.0923999547958374, -1.598449945449829, 0.7484999895095825, 0.5899500250816345, 0.6722999811172485, -1.853950023651123, -0.08968000113964081, 0.3048250079154968, 1.0742000341415405, 0.5483999848365784, 0.2775450050830841, 0.8269500136375427, -1.6083500385284424, -0.3595849871635437, -0.15293000638484955, -0.07083500176668167, 2.112950086593628, -1.966249942779541, -1.3353999853134155, -0.692799985408783, 3.540950059890747, 0.17017999291419983, 0.0023266500793397427, -0.7372999787330627, -1.0110000371932983, 1.7725499868392944, 0.8206499814987183, 1.0458500385284424, 0.07616999745368958, -1.6606999635696411, 0.28126999735832214, -0.5371000170707703, 0.2639949917793274, -1.7895499467849731, -1.5703500509262085, -0.3686549961566925, 0.7933499813079834, -0.759850025177002, -1.9848999977111816, -0.6149500012397766, -0.3387199938297272, -0.029634999111294746, 0.4036099910736084, -0.7940499782562256, -1.0463500022888184, -1.4908499717712402, 0.04816550016403198, -0.7513999938964844, -0.7200499773025513, -1.2630000114440918, -1.316849946975708, 0.8622000217437744, -1.7709499597549438, -0.5742499828338623, -0.01774750091135502, -0.23620499670505524, -0.004160750191658735, -1.5631500482559204, -1.2427500486373901, 0.2535899877548218, -0.3130899965763092, 1.0639499425888062, 1.530150055885315, -0.7917500138282776, -0.005677499808371067, 2.5107998847961426, 1.0921000242233276, 0.9415000081062317, -4.015600204467773, 0.21371999382972717, 1.6439000368118286, -1.412350058555603, 0.8847000002861023, 0.9708499908447266, -2.211250066757202, -0.17501500248908997, 0.13648000359535217, 0.26351499557495117, 0.34544500708580017, 0.8905500173568726, 1.3944499492645264, 1.562150001525879, -1.0382499694824219, -0.9638500213623047, -0.047993000596761703, 1.8731000423431396, -1.0006999969482422, 0.4266450107097626, 0.07765000313520432, -0.6250500082969666, 2.5485498905181885, -1.6476500034332275, 1.834149956703186, 3.212599992752075, 1.7901999950408936, -0.6933500170707703, 0.008983000181615353, -0.9050499796867371, 1.4285000562667847, 1.600450038909912, -1.0664499998092651, 0.18405500054359436, -0.3673050105571747, -0.14910000562667847, -0.2786499857902527, -0.09759999811649323, 0.38939499855041504, 0.59170001745224]
1|218139992|105600.0|terraria|oi|steam|oi|[]|[]|[]|[]||[-2.676500082015991, 2.3954999446868896, 2.6631999015808105, -0.41620999574661255, 3.8176000118255615, 1.551800012588501, -0.42566999793052673, -2.305999994277954, 4.187300205230713, -1.1806000471115112, 1.6842000484466553, 1.746500015258789, -0.9574900269508362, 3.5922000408172607, 1.9895000457763672, -1.2588000297546387, 1.447700023651123, -1.2991000413894653, -2.864799976348877, -3.541800022125244, -3.6029999256134033, -1.006700038909912, 7.842599868774414, -0.50586998462677, -2.624799966812134, -2.3564000129699707, -0.7908999919891357, 1.4778000116348267, -6.61359977722168, 0.9277899861335754, -0.5590900182723999, 6.152599811553955, -8.838800430297852, 2.722100019454956, -2.5950000286102295, -0.3651599884033203, -4.014900207519531, 2.417099952697754, -3.3580000400543213, -5.606200218200684, -1.7958999872207642, 1.0734000205993652, 2.5178000926971436, 3.8598999977111816, 2.2147998809814453, -1.3003000020980835, -2.6679999828338623, 3.472599983215332, 2.2425999641418457, -1.820099949836731, -6.565999984741211, -1.7934000492095947, -1.0887999534606934, -2.388200044631958, 4.776599884033203, 1.0405000448226929, 0.4602999985218048, -1.1548999547958374, -3.0845999717712402, 1.7194000482559204, 0.4801599979400635, -2.224100112915039, 2.4412999153137207, -0.614799976348877, 5.393499851226807, -0.4341199994087219, -4.530900001525879, 2.5127999782562256, -2.8143999576568604, 3.55049991607666, 2.297100067138672, 4.9319000244140625, 0.1569100022315979, 1.2533999681472778, 2.136699914932251, 0.6926800012588501, 0.07773800194263458, 6.501800060272217, 0.868619978427887, -1.2639000415802002, 4.004000186920166, 1.7625999450683594, 3.3310000896453857, 2.6066999435424805, -5.2779998779296875, 1.5607000589370728, 1.0037000179290771, -1.7732000350952148, 5.9079999923706055, -0.42212000489234924, -1.6988999843597412, 4.248499870300293, -1.0751999616622925, 0.8148300051689148, -4.717199802398682, -0.8370400071144104, 2.4182000160217285, 1.46589994430542, 6.480199813842773, 4.787199974060059, 3.7435998916625977, -2.343400001525879, -2.507200002670288, 2.4240000247955322, -1.219499945640564, -2.7128000259399414, -2.2646000385284424, -4.927999973297119, -2.484600067138672, 2.4693000316619873, -1.1062999963760376, 2.8666000366210938, 3.1749000549316406, 3.9130001068115234, 3.3506999015808105, -1.138100028038025, -8.013999938964844, -5.256100177764893, 1.722000002861023, 0.5343199968338013, 2.4072999954223633, 2.9365999698638916, 7.506899833679199, -1.1347999572753906, -4.979899883270264, 0.037741001695394516, 0.7242199778556824, 2.178100109100342, 4.416399955749512, -2.9161999225616455, -1.3559999465942383, 3.0179998874664307, -8.824700355529785, 0.9118000268936157, -2.8320000171661377, 2.0532000064849854, 0.6600199937820435, 3.6405999660491943, 3.319499969482422, 6.507699966430664, -2.466900110244751, -2.9268999099731445, 9.17240047454834, 1.9469000101089478, 2.5234999656677246, 1.5250999927520752, 1.5368000268936157, -0.6160100102424622, 4.891300201416016, -2.6868999004364014, -2.3661000728607178, -3.31850004196167, -1.9337999820709229, -1.3243000507354736, 0.772409975528717, 0.8026700019836426, -4.4532999992370605, -2.078000068664551, 2.137500047683716, 0.8909599781036377, 1.2582999467849731, -1.7163000106811523, -2.5020999908447266, -0.5265100002288818, -2.981600046157837, -2.759999990463257, -2.752700090408325, 6.149400234222412, 4.372200012207031, 2.895900011062622, -4.299699783325195, 0.9818000197410583, 2.1786999702453613, 6.14769983291626, 1.5575000047683716, 1.292799949645996, 5.614299774169922, -3.0940001010894775, 6.463699817657471, -0.8232200145721436, 4.250500202178955, -4.289400100708008, 1.516700029373169, -5.212100028991699, -5.256700038909912, 2.6633999347686768, -2.2416000366210938, -2.4823999404907227, -2.5653998851776123, -1.1825000047683716, 2.4491000175476074, -1.5263999700546265, 8.82289981842041, -0.32923001050949097, -4.7104997634887695, 1.586899995803833, -2.210599899291992, -1.3743000030517578, 1.0628999471664429, -0.10831999778747559, 5.175000190734863, -3.7797000408172607, -2.6777000427246094, -5.3196001052856445, -3.6113998889923096, -4.561399936676025, -1.0539000034332275, -1.0356999635696411, 5.094799995422363, 5.583799839019775, -0.7688000202178955, -3.5425000190734863, -0.4216099977493286, 3.085200071334839, 6.902599811553955, 2.4958999156951904, 2.427500009536743, -1.0109000205993652, -0.2566399872303009, -2.2904999256134033, -1.7051000595092773, 6.517899990081787, 4.665900230407715, -1.4945000410079956, 3.8828001022338867, -6.413899898529053, 2.7407000064849854, 1.9686000347137451, -0.31182000041007996, 0.45083001255989075, -0.1849299967288971, -2.879499912261963, 5.2617998123168945, 2.888000011444092, -1.0270999670028687, -1.0861999988555908, -1.614799976348877, 3.8268001079559326, -5.515500068664551, -2.5404999256134033, -1.9479999542236328, 0.2769699990749359, 2.7776999473571777, -2.574199914932251, -7.758900165557861, -1.677899956703186, -5.912700176239014, -0.7755399942398071, 4.699999809265137, -4.179299831390381, -5.143899917602539, 4.280700206756592, -7.5640997886657715, -2.1454999446868896, -0.3407000005245209, 0.46143999695777893, -1.245300054550171, -1.5528000593185425, -1.8113000392913818, -3.034899950027466, 2.9839000701904297, 3.4626998901367188, 0.33715999126434326, 0.48802998661994934, -1.4119999408721924, 0.018633000552654266, -0.09018400311470032, -3.3032000064849854, -3.5678000450134277, -1.3827999830245972, -2.572700023651123, -0.527400016784668, 3.4965999126434326, 4.2708001136779785, -0.013705000281333923, -3.413300037384033, -1.2388999462127686, 4.0030999183654785, 2.558199882507324, -5.237599849700928, 3.6649999618530273, 2.976099967956543, -6.020299911499023, 0.8802599906921387, -0.4528599977493286, 0.7365999817848206, 9.870200157165527, 5.588099956512451, -3.1375999450683594, -4.641499996185303, 8.582300186157227, -3.1514999866485596, 7.6894001960754395, 3.9619998931884766, 0.07513400167226791, -0.12244000285863876, 4.990600109100342, -1.9326000213623047, -3.81850004196167, -0.49630001187324524]
2|218042630|105600.0|terraria|Better than life|steam|better than life|[Better, than, life]|[false, false, false]|[better than life]|[MISC]|Better than life|[-0.7641633152961731, -0.5302800536155701, 0.0782933235168457, -0.7156199812889099, 0.9635732769966125, 1.1877166032791138, -1.0355833768844604, 0.5090766549110413, -1.6568799018859863, -0.8354887366294861, -2.069087028503418, -0.15957267582416534, -1.5284700393676758, -0.40916332602500916, -0.7944263815879822, 0.3115979731082916, 0.08494333177804947, -0.37567996978759766, -1.723283290863037, 0.09814333915710449, 0.7367966771125793, 0.9239433407783508, -0.6941900253295898, 0.8282952904701233, 0.2851566672325134, -0.8756700158119202, -0.19845665991306305, -0.8406532406806946, -0.34423336386680603, -1.3152300119400024, -1.0282700061798096, -0.05994899943470955, 0.5183433890342712, 0.787339985370636, -1.7960667610168457, 0.7428832650184631, -0.08466500043869019, -0.013980011455714703, 0.10629002004861832, 0.04825667664408684, 0.27189531922340393, 0.8178367018699646, -0.5086266398429871, 0.11927932500839233, 0.9200566411018372, -0.5541499853134155, -1.0190225839614868, 0.9112499356269836, 1.956966757774353, 0.45545998215675354, -0.864633321762085, 1.1121699810028076, -0.8553867340087891, -1.2366833686828613, -1.2431167364120483, -1.2848767042160034, -0.3978566825389862, -1.3010333776474, -0.2179543375968933, 0.40479663014411926, -0.492136687040329, -1.3809599876403809, 0.8259566426277161, -1.0969799757003784, -3.0087335109710693, -0.024843374267220497, -0.7404467463493347, -0.43720337748527527, -1.2908567190170288, -0.8393300175666809, 0.04584665969014168, -1.1663466691970825, -1.4416099786758423, -0.8418300151824951, 1.675303339958191, -1.242609977722168, 3.079033613204956, -1.1776267290115356, 0.19975300133228302, -0.47375333309173584, 2.154400110244751, -0.9216732978820801, -2.270686626434326, -0.4851066768169403, -0.6957600116729736, -0.5967999696731567, 0.4633733332157135, 0.24614666402339935, 2.080233335494995, -0.8968067169189453, -1.2503666877746582, -0.3930400311946869, 0.87514328956604, 0.6463939547538757, 0.5794300436973572, 0.486709326505661, 0.8581523895263672, -0.2588599920272827, 1.2100480794906616, -0.22039999067783356, 0.3093999922275543, 1.108506679534912, -1.2152899503707886, -0.4657866656780243, -2.343600034713745, 0.5178466439247131, -1.030746579170227, 0.6692000031471252, 1.8835911750793457, -0.8973116874694824, -1.6905001401901245, -2.5096232891082764, -0.3510499894618988, 1.1535733938217163, -1.9484666585922241, 0.8478767275810242, 0.1206066682934761, -0.9529933333396912, -0.4276333749294281, -2.2849667072296143, -0.20112331211566925, 0.053808242082595825, -0.49210333824157715, 0.7714366912841797, 0.7327666282653809, 0.4839499890804291, 1.1451834440231323, 0.009423498995602131, -0.5944299697875977, -0.2614566385746002, -0.5477933287620544, -2.464933395385742, 2.1744000911712646, 0.3568359911441803, -1.1357799768447876, 0.6167866587638855, 0.27013567090034485, 0.49184665083885193, -0.9640799164772034, 0.5905399918556213, -0.03113333322107792, -0.69118332862854, -0.2586766183376312, 0.9247133135795593, 0.5280066728591919, 0.6268333196640015, -1.9724668264389038, -0.3006966710090637, -0.9857866764068604, 1.118483304977417, -2.9825668334960938, 1.294433355331421, 0.2286899834871292, -0.725820004940033, -1.5274499654769897, -1.1482065916061401, -0.6697900295257568, -1.1235599517822266, 0.24678663909435272, 0.04546336457133293, 0.2336166650056839, -0.9745433330535889, -2.069000005722046, 0.9468733668327332, -0.41317033767700195, 0.04202334210276604, 1.6750599145889282, 1.3540798425674438, 0.3128966987133026, 1.0892399549484253, -1.1104000806808472, 0.6070166230201721, 1.6618967056274414, 0.460999995470047, -0.02344336174428463, -1.4554766416549683, 1.497399926185608, -0.5023166537284851, -0.4449366629123688, -1.0590633153915405, 1.1149766445159912, -0.13619999587535858, -0.43831667304039, -0.5316399931907654, -0.22645330429077148, -0.2554999887943268, 0.5091939568519592, 1.0723010301589966, -2.3791000843048096, 0.10136333853006363, 0.6832303404808044, -1.123003363609314, 0.3523666560649872, -0.7044000625610352, -0.9404132962226868, -0.4554966688156128, -1.2967733144760132, -1.2867966890335083, 0.34932002425193787, -1.3917099237442017, 1.0170966386795044, -0.5591999888420105, -0.6059367060661316, -0.7720267176628113, -0.21310432255268097, 0.4808666706085205, -1.5958600044250488, 2.016953468322754, 0.2257266491651535, -0.688510000705719, -0.6230833530426025, -1.6007466316223145, -0.27442467212677, 1.631823182106018, -0.11697234958410263, 0.8791167140007019, -0.2884899973869324, 0.6065866947174072, 2.0491132736206055, -0.3397066593170166, 0.629819929599762, 1.6638766527175903, 0.3343466818332672, -0.5221533179283142, -0.05517413839697838, -0.8061766624450684, -1.3523067235946655, -2.021366834640503, 1.3046666383743286, -1.0412999391555786, 2.097266674041748, 0.2422899752855301, -1.6111599206924438, -0.8038399815559387, -0.4125800132751465, -1.0030699968338013, -0.03609669208526611, 2.9591331481933594, 0.26612332463264465, -1.7405999898910522, -0.6039766669273376, -1.416433334350586, -1.337570071220398, 1.6585732698440552, 1.1121033430099487, -0.7830300331115723, -0.9975333213806152, -0.7703066468238831, -1.9293333292007446, -0.1123533621430397, 0.5145633220672607, -0.6992199420928955, -0.4344666302204132, -0.2823866903781891, 1.4293766021728516, -0.12091001123189926, -0.5436499714851379, 0.20076002180576324, -0.9245917201042175, 0.3917960226535797, 0.544076681137085, 1.5054774284362793, -0.5608367323875427, 0.16651666164398193, 0.5321133136749268, -0.9797099232673645, 0.28618332743644714, -0.28988996148109436, 0.5205466747283936, -0.03855333849787712, 0.05845433473587036, -1.756333351135254, -0.8806666731834412, -0.6111299395561218, -1.8420833349227905, 0.5680766701698303, -0.9803266525268555, 0.9842966198921204, -0.6954059600830078, 0.43998000025749207, -0.597746729850769, -0.9325234293937683, -1.6755967140197754, -3.080510139465332, 1.855491042137146, -0.7519733309745789, -0.3322303295135498, 1.074720025062561, 0.0015833377838134766, -1.2603466510772705, -0.24168002605438232, -0.9576776623725891, 0.5989499688148499, 0.012630012817680836, 0.7278000712394714, 1.624566674232483, 0.017041346058249474, -0.16668665409088135, -0.46286332607269287, 1.902066707611084]
3|218041328|105600.0|terraria|tuffo|steam|tuffo|[tuffo]|[false]|[tuffo]|[PER]|tuffo|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4|218038914|105600.0|terraria|E MUITO BOM E ME DA UM POUCI DE MEDO NA CAVERNA|steam|e muito bom e me da um pouci de medo na caverna|[pouci, medo, Caverna]|[false, false, false]|[]|[]|pouci medo Caverna|[0.9123033881187439, -2.0849993228912354, -1.1888841390609741, 1.1499781608581543, -0.2582741677761078, -1.8237651586532593, 0.29736343026161194, -0.8614751696586609, -1.2225526571273804, -0.5316758155822754, -0.12935011088848114, -1.6462565660476685, 0.5256714224815369, 0.35787415504455566, -0.9146174788475037, 1.7702134847640991, 2.6494317054748535, 0.25723981857299805, -0.5891624093055725, 2.4110605716705322, -3.316211462020874, -0.40528416633605957, 0.8379948735237122, 0.012509961612522602, 0.6518682837486267, 2.9104883670806885, 0.6685691475868225, 1.9573043584823608, -1.2069815397262573, -1.286120891571045, -0.9797917008399963, 0.35319748520851135, -2.9476375579833984, -1.0821791887283325, 0.5495515465736389, 0.6031600832939148, -0.3118725121021271, 0.32117995619773865, 1.858059048652649, 1.3105283975601196, -1.177954077720642, 2.3534493446350098, 1.568405032157898, -1.347468376159668, -3.0980794429779053, -0.49111923575401306, 1.3583542108535767, -2.206145763397217, 2.0208749771118164, -1.791731834411621, -0.904221773147583, 1.255611538887024, -0.9795441627502441, -0.09295334666967392, -2.152184247970581, -0.3781810700893402, 1.2707833051681519, -0.9369783401489258, 1.119319200515747, 0.9697616696357727, 1.4292100667953491, 0.9922158122062683, 2.148211717605591, -0.39594581723213196, -0.42781373858451843, 0.5392407774925232, -0.251066654920578, 0.3496033847332001, 1.1751108169555664, -1.4891963005065918, -0.35243359208106995, -2.0658276081085205, -0.40354251861572266, 0.3877333402633667, -0.025293370708823204, -0.8696241974830627, 1.9920436143875122, 2.171600103378296, 0.7088473439216614, -0.06571752578020096, 1.2412891387939453, -0.270760178565979, 0.16418252885341644, 0.9020931720733643, -1.4612993001937866, -1.6814032793045044, 0.6219344735145569, 1.3556113243103027, 0.522332489490509, -1.423946499824524, 1.5961499214172363, 2.0631039142608643, -0.18937914073467255, -0.5346474647521973, -1.0761207342147827, -0.7012884616851807, 1.5248608589172363, 0.7884241938591003, -1.1203832626342773, 0.3296894133090973, 1.0849541425704956, -0.08096650242805481, 0.30381086468696594, 1.3849843740463257, -1.013454556465149, -0.05764997377991676, -1.9983372688293457, 2.150777578353882, -1.3901275396347046, 0.6964524388313293, 0.27272576093673706, 1.1665866374969482, -0.8764566779136658, 0.459221750497818, -1.8252266645431519, 0.6996284127235413, -0.6241316795349121, -1.3900254964828491, 1.0139975547790527, 1.7077170610427856, 1.9362744092941284, -0.1296766698360443, 0.47189760208129883, -0.11194749921560287, -0.6640774607658386, 0.7005875110626221, 0.6869108080863953, -0.39426669478416443, 0.24352087080478668, 0.6394808888435364, 1.2651922702789307, 0.7762625217437744, -0.4062708914279938, -1.793175220489502, 0.8269858360290527, 0.16787748038768768, -0.1543249636888504, -1.8277925252914429, 1.1609524488449097, 2.1263835430145264, -2.078310012817383, -1.3265892267227173, 0.037401650100946426, -3.304546594619751, -1.1925116777420044, -0.07154417783021927, 1.9460400342941284, 0.9190908074378967, 0.03167502209544182, 0.13739584386348724, 0.01618659496307373, -0.018183311447501183, 0.8370458483695984, -2.1627180576324463, 1.2889548540115356, 0.736674964427948, -0.8142833709716797, -2.3787050247192383, 0.589918315410614, -0.715708315372467, -1.3733917474746704, 0.24630405008792877, 0.5636200308799744, 1.44912588596344, 0.20666749775409698, 0.3864857852458954, 0.10893967747688293, -0.8433136343955994, 0.5695616602897644, -1.0006600618362427, 0.6429591178894043, 1.378358244895935, 3.24056077003479, 0.45525243878364563, -0.9662066102027893, -1.1934759616851807, 1.8477716445922852, -1.0778560638427734, 0.2876133620738983, 0.9427691102027893, 2.1393792629241943, 0.9683595299720764, -2.195058584213257, 1.302449107170105, -0.04715582728385925, -0.9581192135810852, 2.637016773223877, -1.2706538438796997, 0.6420067548751831, 1.6658252477645874, -1.6526626348495483, -0.5009083151817322, 3.2501590251922607, -3.1067841053009033, 1.137654185295105, 0.00887243915349245, -0.321885347366333, -0.5801198482513428, -0.9936235547065735, -0.8439557552337646, 0.3522533178329468, 1.0032624006271362, 0.7533699870109558, -0.8463406562805176, -0.43247589468955994, -0.3961782455444336, -0.039576251059770584, 0.2203691005706787, 0.5581275820732117, -1.7227376699447632, 0.4680916368961334, -0.240933358669281, 3.856186628341675, 1.8072034120559692, -0.5071060657501221, 0.18581509590148926, -0.04948665574193001, 1.0327426195144653, 1.3049055337905884, 1.3477023839950562, -0.7354941964149475, -2.1617190837860107, -0.1175108551979065, -1.5588151216506958, 1.5989567041397095, -2.02299165725708, -1.7411242723464966, -1.1595741510391235, 1.7289509773254395, -0.3761858642101288, 0.07651248574256897, -1.6708952188491821, -0.17813163995742798, -1.906706690788269, 0.7387657761573792, -1.6684507131576538, -1.5756922960281372, -0.32156670093536377, 0.8668877482414246, -1.7877308130264282, 0.6812258362770081, -0.4561595916748047, -0.15422993898391724, -0.03965999186038971, -1.0861784219741821, 0.7718058228492737, 1.11767578125, 1.6247254610061646, 1.8273820877075195, -3.1272592544555664, -0.05266326665878296, 1.9655894041061401, 0.045310746878385544, 1.4457341432571411, 0.27441248297691345, -0.32204172015190125, -1.535967469215393, 3.7930498123168945, -0.1954854130744934, -0.39584413170814514, -2.9307022094726562, 0.15041835606098175, 0.7844982743263245, -0.4824017286300659, -0.40663909912109375, -0.5067940950393677, -1.7365940809249878, 0.23374076187610626, 1.0987082719802856, -1.112512469291687, 0.24104996025562286, -1.2340947389602661, -0.13772502541542053, 1.7464781999588013, -0.818387508392334, 0.8987858295440674, 0.9576398730278015, 1.6319903135299683, 0.4142916202545166, -0.932568371295929, -0.6651358008384705, -0.4560166597366333, 1.9291033744812012, -0.4603075087070465, 1.430466651916504, 2.603926658630371, -0.2471967190504074, -1.4239875078201294, 1.1105159521102905, 0.0895083025097847, 1.2492684125900269, 2.0343592166900635, 0.8945053219795227, 0.17140673100948334, 1.5900107622146606, -2.085008144378662, 1.9929784536361694, 0.9338150024414062, 0.5857624411582947, 0.7938899993896484]
